Case #1: 861
1 2 1000000
1 3 108302
1 4 1000000
1 5 98639
1 6 99403
1 7 140605
1 8 55585
1 9 1000000
1 10 83052
1 11 1000000
1 12 33397
1 13 4337
1 14 1000000
1 15 1000000
1 16 42782
1 17 1000000
1 18 82944
1 19 91735
1 20 1000000
1 21 1000000
1 22 151412
1 23 58626
1 24 84521
1 25 179900
1 26 1000000
1 27 55016
1 28 1000000
1 29 33550
1 30 82962
1 31 1000000
1 32 71408
1 33 144351
1 34 1000000
1 35 5592
1 36 96597
1 37 78911
1 38 14348
1 39 51917
1 40 1000000
1 41 1000000
1 42 85407
2 3 122595
2 4 76604
2 5 71046
2 6 1000000
2 7 1000000
2 8 1000000
2 9 77405
2 10 1000000
2 11 1000000
2 12 89359
2 13 60299
2 14 47314
2 15 108084
2 16 98744
2 17 109209
2 18 48147
2 19 1000000
2 20 53728
2 21 49923
2 22 1000000
2 23 97149
2 24 1000000
2 25 228062
2 26 111616
2 27 100759
2 28 138994
2 29 1000000
2 30 133846
2 31 166564
2 32 77842
2 33 1000000
2 34 148605
2 35 61554
2 36 142340
2 37 1000000
2 38 70310
2 39 103858
2 40 122603
2 41 59921
2 42 1000000
3 4 1000000
3 5 121377
3 6 195715
3 7 178341
3 8 132658
3 9 141360
3 10 98713
3 11 1000000
3 12 1000000
3 13 103965
3 14 1000000
3 15 134273
3 16 1000000
3 17 1000000
3 18 74448
3 19 1000000
3 20 79917
3 21 83722
3 22 1000000
3 23 81364
3 24 149954
3 25 1000000
3 26 161135
3 27 77754
3 28 1000000
3 29 1000000
3 30 109373
3 31 131012
3 32 94146
3 33 178901
3 34 115381
3 35 102710
3 36 119335
3 37 1000000
3 38 113976
3 39 1000000
3 40 8
3 41 124556
3 42 1000000
4 5 1000000
4 6 1000000
4 7 1000000
4 8 34943
4 9 51515
4 10 62410
4 11 95055
4 12 25343
4 13 16305
4 14 1000000
4 15 1000000
4 16 1000000
4 17 133861
4 18 81450
4 19 1000000
4 20 1000000
4 21 47419
4 22 156039
4 23 63253
4 24 83258
4 25 171846
4 26 78426
4 27 1000000
4 28 1000000
4 29 12908
4 30 62320
4 31 156450
4 32 1000000
4 33 154681
4 34 1000000
4 35 17560
4 36 101224
4 37 1000000
4 38 1000000
4 39 56544
4 40 1000000
4 41 81569
4 42 97375
5 6 1000000
5 7 158263
5 8 1000000
5 9 148451
5 10 1000000
5 11 1000000
5 12 123362
5 13 1000000
5 14 61242
5 15 136487
5 16 55857
5 17 1000000
5 18 119193
5 19 134471
5 20 1000000
5 21 1000000
5 22 1000000
5 23 40013
5 24 42487
5 25 269865
5 26 1000000
5 27 43623
5 28 178890
5 29 112837
5 30 1000000
5 31 1000000
5 32 73194
5 33 159435
5 34 105718
5 35 1000000
5 36 1000000
5 37 1000000
5 38 104313
5 39 46722
5 40 121369
5 41 73849
5 42 172862
6 7 227087
6 8 113704
6 9 130276
6 10 1000000
6 11 168107
6 12 104104
6 13 1000000
6 14 1000000
6 15 113731
6 16 1000000
6 17 182329
6 18 121267
6 19 1000000
6 20 122375
6 21 123043
6 22 196939
6 23 1000000
6 24 1000000
6 25 250607
6 26 157187
6 27 138404
6 28 207427
6 29 91669
6 30 139493
6 31 235211
6 32 150962
6 33 161509
6 34 183372
6 35 1000000
6 36 109028
6 37 169640
6 38 85055
6 39 1000000
6 40 195723
6 41 1000000
6 42 176136
7 8 196190
7 9 1000000
7 10 218881
7 11 248954
7 12 174002
7 13 144942
7 14 1000000
7 15 197805
7 16 1000000
7 17 1000000
7 18 1000000
7 19 198787
7 20 204861
7 21 203890
7 22 211036
7 23 1000000
7 24 1000000
7 25 320505
7 26 239673
7 27 1000000
7 28 245688
7 29 174155
7 30 1000000
7 31 1000000
7 32 212013
7 33 242356
7 34 233248
7 35 1000000
7 36 1000000
7 37 1000000
7 38 1000000
7 39 1000000
7 40 178333
7 41 213888
7 42 1000000
8 9 1000000
8 10 1000000
8 11 111679
8 12 60286
8 13 51248
8 14 1000000
8 15 45685
8 16 1000000
8 17 1000000
8 18 90577
8 19 1000000
8 20 52741
8 21 56546
8 22 187645
8 23 98196
8 24 92385
8 25 1000000
8 26 113369
8 27 1000000
8 28 93723
8 29 1000000
8 30 71447
8 31 165577
8 32 84465
8 33 163808
8 34 1000000
8 35 52503
8 36 136167
8 37 125822
8 38 1000000
8 39 91487
8 40 132650
8 41 76613
8 42 1000000
9 10 42647
9 11 128251
9 12 1000000
9 13 67820
9 14 1000000
9 15 1000000
9 16 106265
9 17 141607
9 18 107149
9 19 155218
9 20 1000000
9 21 1000000
9 22 201224
9 23 1000000
9 24 105964
9 25 207947
9 26 1000000
9 27 1000000
9 28 1000000
9 29 1000000
9 30 88019
9 31 174279
9 32 85557
9 33 162427
9 34 1000000
9 35 69075
9 36 152739
9 37 142394
9 38 1000000
9 39 108059
9 40 141352
9 41 93185
9 42 1000000
10 11 99269
10 12 1000000
10 13 78715
10 14 112228
10 15 73152
10 16 71536
10 17 170455
10 18 1000000
10 19 119159
10 20 1000000
10 21 14991
10 22 1000000
10 23 1000000
10 24 1000000
10 25 1000000
10 26 115898
10 27 79701
10 28 118006
10 29 1000000
10 30 1000000
10 31 1000000
10 32 42910
10 33 1000000
10 34 1000000
10 35 79970
10 36 121282
10 37 1000000
10 38 1000000
10 39 1000000
10 40 98705
10 41 64203
10 42 1000000
11 12 1000000
11 13 111360
11 14 85183
11 15 131613
11 16 1000000
11 17 204196
11 18 108644
11 19 157318
11 20 96253
11 21 1000000
11 22 1000000
11 23 1000000
11 24 66428
11 25 1000000
11 26 16629
11 27 81868
11 28 1000000
11 29 107963
11 30 157375
11 31 209089
11 32 118659
11 33 183376
11 34 1000000
11 35 1000000
11 36 123449
11 37 66843
11 38 1000000
11 39 84967
11 40 159614
11 41 35066
11 42 192430
12 13 1000000
12 14 127356
12 15 1000000
12 16 67505
12 17 1000000
12 18 106793
12 19 116458
12 20 68957
12 21 72762
12 22 176135
12 23 1000000
12 24 1000000
12 25 146503
12 26 1000000
12 27 1000000
12 28 153371
12 29 38251
12 30 1000000
12 31 1000000
12 32 1000000
12 33 1000000
12 34 117366
12 35 30315
12 36 121320
12 37 1000000
12 38 1000000
12 39 76640
12 40 1000000
12 41 1000000
12 42 110130
13 14 107613
13 15 52863
13 16 38445
13 17 150166
13 18 1000000
13 19 87398
13 20 59919
13 21 1000000
13 22 147075
13 23 54289
13 24 1000000
13 25 175563
13 26 1000000
13 27 1000000
13 28 1000000
13 29 1000000
13 30 78625
13 31 1000000
13 32 67071
13 33 1000000
13 34 88306
13 35 1255
13 36 92260
13 37 1000000
13 38 1000000
13 39 47580
13 40 103957
13 41 1000000
13 42 81070
14 15 112755
14 16 1000000
14 17 1000000
14 18 84916
14 19 179810
14 20 101042
14 21 1000000
